Java,James Gosling,Sun Microsystems,1995
Python,Guido van Rossum,Centrum Wiskunde & Informatica (CWI) ,1989
C,Dennis Ritchie,Bell Labs,1970
C++,Bjarne Stroustrup,Bell Labs,1985
Perl,Larry Wall,NASA Jet Propulsion Laboratory,1987
JavaScript,Brendan Eich,Netscape Communications Corporation,1995
Objective C,Brad Cox,Stepsone,1984
SQL,Donald Chamberlin,IBM,1974
APL,Kenneth Iverson,IBM,1964
B,Kenneth Thompson,Bell Labs,1969
